task,pulse_type,training_strength,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,training_objective
H,polished_open_loop,0.08,0.05,32,0.9999918175329991,8.182467000850124e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,33,0.999997500118552,2.499881447959318e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,34,0.9999968985021305,3.1014978695287354e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,35,0.9999901778945717,9.8221054283254e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,36,0.9999878710978918,1.2128902108221595e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,37,0.9999998210613019,1.7893869808105478e-07,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,38,0.9999967928389405,3.2071610595041378e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,39,0.9999973508641761,2.6491358239288942e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,40,0.9999815549966751,1.8445003324929488e-05,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,41,0.9999937122329687,6.287767031265545e-06,0.43935843152488097,5.1291345236599055e-05
H,polished_open_loop,0.08,0.05,42,0.9999975020669867,2.497933013323461e-06,0.43935843152488097,5.1291345236599055e-05
