task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used
Z,selected_hard_augmented_mean_worst,60,-0.06666666666667,0.0,-0.04,0.07774602526460686,0.08,13,0.013333333333333336,0.011547005383792518,0.9983273197839108,0.0016726802160892396,-0.007667579289808171,-0.002970278957490191,-0.03236159546858852,0.033389926482748855,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,61,-0.06666666666667,0.0,-0.02666666666667,0.07180219742846439,0.08,13,0.013333333333333336,0.011547005383792518,0.9987061826113582,0.0012938173886417603,-0.005938951725886793,-0.0031266631656185484,-0.0244468757519975,0.025351467495733904,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,62,-0.06666666666667,0.0,-0.01333333333333,0.06798692684790641,0.08,13,0.013333333333333336,0.011547005383792518,0.9989788660760011,0.0010211339239989403,-0.004393745857400447,-0.003194928342232284,-0.016448959044642886,0.017322841089837476,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,63,-0.06666666666667,0.0,0.0,0.06666666666667,0.08,13,0.013333333333333336,0.011547005383792518,0.9991448394491929,0.0008551605508071436,-0.003015066567472899,-0.0032206043201977175,-0.008455137627304987,0.00953689000095092,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,64,-0.06666666666667,0.0,0.01333333333333,0.06798692684790641,0.08,13,0.013333333333333336,0.011547005383792518,0.9992047507954587,0.0007952492045413262,-0.0017868936492260595,-0.003245165122935101,-0.0005545316345890727,0.003745876522593723,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,65,-0.06666666666667,0.0,0.02666666666667,0.07180219742846439,0.08,13,0.013333333333333336,0.011547005383792518,0.9991604350371398,0.0008395649628601953,-0.000694318730927096,-0.0033059315124062683,0.00716435923092501,0.007920814658516977,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,66,-0.06666666666667,0.0,0.04,0.07774602526460686,0.08,13,0.013333333333333336,0.011547005383792518,0.9990148893544228,0.0009851106455771586,0.00027624275151109934,-0.0034360085139605867,0.014616101833445527,0.015017086847036005,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,67,-0.06666666666667,0.01333333333333,-0.04,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9982968746616556,0.00170312533834438,-0.005741460684773561,0.007657180533401808,-0.032677684476705715,0.034050372204647655,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,68,-0.06666666666667,0.01333333333333,-0.02666666666667,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9986791573461264,0.0013208426538735552,-0.004292731514551701,0.0072870168404756686,-0.024652151806111355,0.026062554497995025,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,69,-0.06666666666667,0.01333333333333,-0.01333333333333,0.06928203230275702,0.08,13,0.013333333333333336,0.011547005383792518,0.9989541096905984,0.0010458903094016092,-0.0029907841059351042,0.007001751325698025,-0.016591726248427252,0.0182552647501475,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,70,-0.06666666666667,0.01333333333333,0.0,0.06798692684790641,0.08,13,0.013333333333333336,0.011547005383792518,0.9991218176802119,0.00087818231978809,-0.0018210342303018878,0.006754468567607086,-0.008579575326138178,0.011070145621246467,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,71,-0.06666666666667,0.01333333333333,0.01333333333333,0.06928203230275702,0.08,13,0.013333333333333336,0.011547005383792518,0.9991834902360212,0.0008165097639788454,-0.0007699445654564402,0.006502568696187483,-0.0007005716248692506,0.006585363686546494,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,72,-0.06666666666667,0.01333333333333,0.02666666666667,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9991414658908072,0.0008585341091927878,0.00017476372788899353,0.006207878603339934,0.006961118462484761,0.009328744254353726,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,73,-0.06666666666667,0.01333333333333,0.04,0.07888106377466379,0.08,13,0.013333333333333336,0.011547005383792518,0.9989991872842114,0.0010008127157885571,0.001023925380477922,0.005836725532301357,0.014324445367914163,0.015501790968225668,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,74,-0.06666666666667,0.02666666666667,-0.02666666666667,0.07659416862051227,0.08,13,0.013333333333333336,0.011547005383792518,0.9985095163524103,0.0014904836475897465,-0.002311187215183849,0.0182279267173735,-0.025110863859641452,0.031115179294598564,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
Z,selected_hard_augmented_mean_worst,75,-0.06666666666667,0.02666666666667,-0.01333333333333,0.0730296743340258,0.08,13,0.013333333333333336,0.011547005383792518,0.9987901342479061,0.0012098657520939193,-0.0012591537886949278,0.017652066166299246,-0.01699075771675501,0.024532972832342625,4.1775,32.9196830377914,8.0,mean_worst,0.25,547,335,256,212
