task,controller,disorder_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
Z,finite_candidate_seed,0.08,34,0.9958421526385391,0.0034961161754543967,0.006580264735524088,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,35,0.9954080025111472,0.005769799454487694,0.012816445977820945,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,36,0.9989059786703296,0.0014008114562706982,0.0015744218072284433,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,37,0.9988302320482707,0.002874281911684501,0.004682165263515503,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,38,0.9999064755450576,0.0007938258991262181,0.0024322001847999486,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,39,0.9967883495009031,0.006021324952304794,0.010558445677994688,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,40,0.9997052592166978,0.002031143960600941,0.004693460625673329,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,41,0.9967873608041731,0.0021761822737281352,0.004514035446203657,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,42,0.9959195030275304,0.0014235369143659792,0.003931016018885569,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,43,0.9964121985572856,0.0012573233809042893,0.003483077651521227,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,44,0.9998933956624667,0.0008608312726816955,0.0026192872519361643,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,45,0.9975778201671512,0.001058489717733898,0.002238301928984332,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,46,0.9943539672153326,0.0032533400366982447,0.006416424982623736,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,47,0.9988237712299138,0.002779469679316791,0.0042192389669094554,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,48,0.9948212710319971,0.00488347765094481,0.008766486068784607,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,49,0.9974968148232797,0.003481419747509271,0.005095973862094927,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,50,0.9970801212026678,0.0021230351978341975,0.0035743254867068863,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,51,0.9980503668129886,0.0011053264510926595,0.0021498335465489626,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,52,0.9966267960009056,0.002147475565929894,0.004370160075969576,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,53,0.9956977219881995,0.0022123869220836124,0.004022631500039786,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,54,0.9960069646379438,0.004141036103082354,0.009252472291592428,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,55,0.9973399802788149,0.0012097224843775878,0.0023692018020292638,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,56,0.9959670903242561,0.005847951033214851,0.012331454147623933,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,57,0.9976239636852323,0.006022501944829348,0.010600881200213963,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,58,0.998793903021301,0.0028920748802717068,0.004188089935984629,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,finite_candidate_seed,0.08,59,0.9956745619817043,0.006774077393705476,0.013813142658920974,2.4291666666666667,60,4,0.0,0,60,24.254020980093628
Z,adjoint_state_horizon,0.05,10,0.9999097846557405,0.0013373626528687078,0.0023463985435567825,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,11,0.9986335410064482,0.0025643293216031436,0.005968087795201971,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,12,0.9986005575055076,0.0023482176515357,0.00555706059570904,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,13,0.9990656044501792,0.0006284912094432877,0.0048669407432654355,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,14,0.9989444960145392,0.002339498049736979,0.004022561445967021,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,15,0.9994784241664938,0.0007283300205753911,0.002851952022053572,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,16,0.9981000811101588,0.0027704896031673578,0.00699555971540855,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,17,0.9993431306596773,0.0006307200516205275,0.001885566457071386,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,18,0.999018668986693,0.0007910659045892421,0.004824056017964207,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,19,0.9981513345220844,0.0019207766578417983,0.004969318755089436,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,20,0.9983189875655656,0.002816629805335352,0.006764917739808696,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,21,0.9983209063829707,0.0009325479744929707,0.002368267961686432,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,22,0.9998861854404013,0.0015569747878325486,0.0027229584665361406,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,23,0.9997973835109304,0.0003868460353240519,0.00148963792760759,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,24,0.9989655085453542,0.001093605366825892,0.0028016646530759637,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,25,0.998688557820819,0.0018514608374540049,0.0037970759466321446,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,26,0.9993669411561733,0.0006538513486581239,0.0038014113391119375,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,27,0.9997857786861443,0.0014793979250334792,0.003584167108688696,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,28,0.999119018971911,0.0007992709250196948,0.0011630287838810816,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,29,0.9991790480180821,0.0008720079865162783,0.001556768980797707,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
Z,adjoint_state_horizon,0.05,30,0.9991993397963477,0.0006471900400469257,0.002002493182259313,2.148690742848578,60,4,0.004392859560564512,411,22,53.27318398898933
