task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab_train8,0.05,52,0.9997666166770738,0.00023338332292621722,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,53,0.9998248193843204,0.0001751806156795599,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,54,0.9999772854730151,2.2714526984879413e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,55,0.9998849180988764,0.00011508190112363703,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,56,0.9999873494940763,1.2650505923694766e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,57,0.9999514467848415,4.8553215158508856e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,58,0.9999795173258794,2.0482674120581024e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.05,59,0.9999509773750722,4.902262492778586e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,10,0.9999214994059495,7.850059405045684e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,11,0.99994429757516,5.570242483998733e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,12,0.999912180688018,8.781931198198478e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,13,0.9997191024644074,0.00028089753559257247,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,14,0.999907941747402,9.205825259794853e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,15,0.9997403364746748,0.00025966352532524883,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,16,0.9996014249224789,0.00039857507752105725,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,17,0.9996259950895761,0.0003740049104239418,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,18,0.9999242460043041,7.575399569592633e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,19,0.9996072410311285,0.0003927589688714761,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,20,0.9998578653914241,0.00014213460857592786,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,21,0.9997881999610164,0.00021180003898357835,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,22,0.9999724464913762,2.755350862382322e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,23,0.9998276964979725,0.00017230350202745992,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,24,0.9995814777921344,0.00041852220786564587,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,25,0.9996769790140374,0.00032302098596259654,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,26,0.999997003075171,2.996924828968517e-06,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,27,0.9999585265111098,4.147348889016467e-05,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
Z,dcrab_train8,0.08,28,0.999056821989495,0.0009431780105050303,8.604365601999506,3,40,3,"31,43,59",0.0019082723916440027,False,51.805853677215055
