task,controller,slew_weight,eval_strength,seed,final_fidelity,tail_infidelity_mean,tail_stability_range,segments,horizon_steps,beam_width,design_seconds,pulse_energy,rms_slew,max_step,total_variation,high_frequency_fraction
Z,slew_constrained_beam_horizon,0.005,0.08,48,0.9966037045088774,0.005736901903660479,0.0033858148220762274,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,49,0.9964757841109497,0.005968161907103082,0.0040011110167502695,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,50,0.9952917347240233,0.0035067534238157807,0.003120254990481297,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,51,0.994461436806498,0.005554063958178983,0.001018688473688023,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,52,0.9956287390095734,0.003690966244204542,0.0020883129899305075,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,53,0.9937158349777669,0.003834748527789439,0.003955183447392097,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,54,0.9918286138984719,0.004332135513425099,0.005428173145540005,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,55,0.9962710706769413,0.006446218509913397,0.004777845765463584,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,56,0.9926120950853619,0.005110059987977063,0.004491817259157926,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,57,0.9954642854724483,0.005480703882434362,0.008249557680007902,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,58,0.9957088564257617,0.005112237339562018,0.008311369019268877,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
Z,slew_constrained_beam_horizon,0.005,0.08,59,0.9949247591539699,0.006029777287671101,0.005737415497534926,60,4,6,36.62624777597375,0.8083333333333333,0.6165030888996683,3.0,19.186350889600973,0.04094263259604194
H,slew_constrained_beam_horizon,0.0,0.08,10,0.9984620366348255,0.00292995439699869,0.004481713743164417,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,11,0.994343220463421,0.004885559907027693,0.009008254002793148,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,12,0.9945621568410435,0.004852252366114947,0.009194484580380635,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,13,0.9970500805517761,0.0034908448223701562,0.0028844892366046704,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,14,0.9938945335475284,0.004398974254790761,0.0047119973177337515,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,15,0.9971742685386503,0.0032567653897309645,0.004229924470609325,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,16,0.9937198541569323,0.004491459678387002,0.0068773890758304645,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,17,0.997204542431915,0.0032106280755669005,0.0023515625236920634,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,18,0.9978381038001383,0.003273513446346683,0.004358629487032695,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,19,0.9950602691711372,0.004433510925276107,0.008760191721173594,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,20,0.9939043597772009,0.004759319831579896,0.008294167375343053,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
H,slew_constrained_beam_horizon,0.0,0.08,21,0.997804572748856,0.0033133156109429376,0.004472760358028904,60,4,8,48.21917789313011,5.579166666666667,2.683496730459257,5.595865303863627,141.8330067099483,0.22425143969948177
