task,baseline,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
H,open_system_grape,combined,static_only,0.08,0.0,0.0,31,0.9983385813051738,0.0016614186948261667,0.9985482857764915,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,32,0.9968288059416769,0.0031711940583231124,0.9987359216095376,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,33,0.9985833139682406,0.0014166860317593732,0.998272610802779,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,34,0.9985788575812118,0.0014211424187882127,0.9983009332731071,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,35,0.9980297481359299,0.0019702518640700717,0.9985689746138644,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,36,0.9947254057152369,0.005274594284763068,0.9982786185465655,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,37,0.998448099274587,0.0015519007254130024,0.998392728649789,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,38,0.9978606223113663,0.0021393776886337035,0.9985796619466056,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,39,0.9990308886217837,0.0009691113782163141,0.9987466440646506,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,40,0.9955818037669295,0.004418196233070493,0.9981547113848994,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,41,0.995431271216372,0.004568728783628018,0.9984472512263638,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,42,0.9982554506857988,0.0017445493142012047,0.9981894103123881,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,43,0.9945889830954604,0.005411016904539601,0.998707608823194,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,44,0.9979843491875626,0.002015650812437375,0.9985708658792278,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,45,0.9962169115411224,0.003783088458877648,0.9981293856829161,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,46,0.995921319839558,0.004078680160441994,0.9986992874918332,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,47,0.9965057538473969,0.0034942461526030755,0.9983961858605207,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,48,0.9976104697744995,0.0023895302255004802,0.998745786731603,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,49,0.9978558977748746,0.0021441022251253994,0.9987822957369605,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,50,0.9987282859021568,0.0012717140978432129,0.9983250219444835,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,51,0.995856819485041,0.004143180514958988,0.9981453574868208,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,52,0.9953065377737536,0.004693462226246448,0.9984652280431181,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,53,0.9983866128482003,0.0016133871517997056,0.9982223843734809,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
H,open_system_grape,combined,static_only,0.08,0.0,0.0,54,0.9979510841064244,0.002048915893575587,0.998374282031974,0.32667855229428266,40,0.023514349344387786,17,100,False,34.809535461012274
