task,baseline,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed
H,terminal_process_open_loop,0.08,11,0.9999730948095161,0.9997461326377944,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,12,0.9999666483697671,0.999711257107796,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,13,0.9999943413035546,0.9999729998774164,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,14,0.9996510881299172,0.9997507712359383,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,15,0.9999149716131432,0.9944450413019164,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,16,0.9999160323077176,0.9975845633174057,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,17,0.9997645299425281,0.9982653501473874,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,18,0.999967640146663,0.9978534237758231,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,19,0.9998987562131563,0.9986904135249648,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,20,0.9999466432459436,0.9990240193617389,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,21,0.999556553399407,0.9994234923162465,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,22,0.9998225628744497,0.9976656986373152,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,23,0.9999548665206853,0.9980657768341175,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,24,0.9995176084997978,0.9985128868443637,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,25,0.9992995600141144,0.9989440178311018,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,26,0.999927596435882,0.9965515679576971,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,27,0.9999570085057995,0.9989350435175801,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,28,0.999837495459559,0.995042941873642,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,29,0.9997794007218098,0.9962783820230836,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,30,0.9997151266419533,0.9983686392320088,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,31,0.9999197093513743,0.9970161841190124,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,32,0.9999842009373916,0.9986274479915555,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,33,0.999991300727672,0.9999398828252795,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,34,0.9999999397330882,0.9995334700432198,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,35,0.9999032106791426,0.9961934795755018,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,36,0.9997819680248202,0.9948966589897982,1.129996649817001,20,0.00023059181329800348,22
H,terminal_process_open_loop,0.08,37,0.9994505326077411,0.9993362093285897,1.129996649817001,20,0.00023059181329800348,22
