task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.05,18,mean_worst,0.5,7,335,335,256,0,13,2145,0.9990955321613478,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,19,mean_worst,0.5,7,335,335,256,0,13,2145,0.9943416689041886,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,20,mean_worst,0.5,7,335,335,256,0,13,2145,0.9930962950349234,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,21,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991235684145533,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,22,mean_worst,0.5,7,335,335,256,0,13,2145,0.9980197558445977,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,23,mean_worst,0.5,7,335,335,256,0,13,2145,0.9973168405424,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,24,mean_worst,0.5,7,335,335,256,0,13,2145,0.998710446652284,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,25,mean_worst,0.5,7,335,335,256,0,13,2145,0.9985288028676195,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,26,mean_worst,0.5,7,335,335,256,0,13,2145,0.9991512608309729,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,27,mean_worst,0.5,7,335,335,256,0,13,2145,0.9943768575909239,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,28,mean_worst,0.5,7,335,335,256,0,13,2145,0.9986818900997161,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,29,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988535167261245,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,30,mean_worst,0.5,7,335,335,256,0,13,2145,0.998455165738363,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,31,mean_worst,0.5,7,335,335,256,0,13,2145,0.9945982079305425,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,32,mean_worst,0.5,7,335,335,256,0,13,2145,0.9964546254135468,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,33,mean_worst,0.5,7,335,335,256,0,13,2145,0.9980523263659049,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,34,mean_worst,0.5,7,335,335,256,0,13,2145,0.9971207803771553,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,35,mean_worst,0.5,7,335,335,256,0,13,2145,0.9950190890328323,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,36,mean_worst,0.5,7,335,335,256,0,13,2145,0.9988266272238756,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,37,mean_worst,0.5,7,335,335,256,0,13,2145,0.9980748268493115,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,38,mean_worst,0.5,7,335,335,256,0,13,2145,0.9969697889596223,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,39,mean_worst,0.5,7,335,335,256,0,13,2145,0.9931820205091648,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,40,mean_worst,0.5,7,335,335,256,0,13,2145,0.9982209977259997,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,41,mean_worst,0.5,7,335,335,256,0,13,2145,0.9982348942613473,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,42,mean_worst,0.5,7,335,335,256,0,13,2145,0.9987293941860322,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,43,mean_worst,0.5,7,335,335,256,0,13,2145,0.9987759264970584,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,44,mean_worst,0.5,7,335,335,256,0,13,2145,0.9969121886035806,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,45,mean_worst,0.5,7,335,335,256,0,13,2145,0.999087086875809,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,46,mean_worst,0.5,7,335,335,256,0,13,2145,0.9971896039485643,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,47,mean_worst,0.5,7,335,335,256,0,13,2145,0.998542482443909,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,48,mean_worst,0.5,7,335,335,256,0,13,2145,0.9951952470083347,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,49,mean_worst,0.5,7,335,335,256,0,13,2145,0.9948901503460656,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,50,mean_worst,0.5,7,335,335,256,0,13,2145,0.9975109401380207,3.66,0.1919191919191919,21.61595808598213
Z,coarse,0.05,51,mean_worst,0.5,7,335,335,256,0,13,2145,0.9990170483488434,3.66,0.1919191919191919,21.61595808598213
