task,design_label,disorder_strength,seed,score_mode,worst_weight,train_points_per_axis,train_net_points,base_train_points,hard_points_requested,hard_points_used,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
Z,coarse,0.05,17,max_net,0.25,7,335,335,256,0,13,2145,0.9986019688213023,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,18,max_net,0.25,7,335,335,256,0,13,2145,0.9972211632141931,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,19,max_net,0.25,7,335,335,256,0,13,2145,0.9992130884984747,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,20,max_net,0.25,7,335,335,256,0,13,2145,0.9989821449888615,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,21,max_net,0.25,7,335,335,256,0,13,2145,0.9981043575061004,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,22,max_net,0.25,7,335,335,256,0,13,2145,0.99795164944189,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,23,max_net,0.25,7,335,335,256,0,13,2145,0.9983765014526149,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,24,max_net,0.25,7,335,335,256,0,13,2145,0.9987143701111414,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,25,max_net,0.25,7,335,335,256,0,13,2145,0.9988448772676113,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,26,max_net,0.25,7,335,335,256,0,13,2145,0.9974374048104043,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,27,max_net,0.25,7,335,335,256,0,13,2145,0.9980574220435201,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,28,max_net,0.25,7,335,335,256,0,13,2145,0.9980705083687385,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,29,max_net,0.25,7,335,335,256,0,13,2145,0.9978867680472976,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,30,max_net,0.25,7,335,335,256,0,13,2145,0.9985353929069969,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,31,max_net,0.25,7,335,335,256,0,13,2145,0.9987980318571703,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,32,max_net,0.25,7,335,335,256,0,13,2145,0.9983275253357552,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,33,max_net,0.25,7,335,335,256,0,13,2145,0.9971577361597399,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,34,max_net,0.25,7,335,335,256,0,13,2145,0.9970896917510812,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,35,max_net,0.25,7,335,335,256,0,13,2145,0.9990071080202899,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,36,max_net,0.25,7,335,335,256,0,13,2145,0.9978517092695904,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,37,max_net,0.25,7,335,335,256,0,13,2145,0.9990768320006409,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,38,max_net,0.25,7,335,335,256,0,13,2145,0.9981776707240622,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,39,max_net,0.25,7,335,335,256,0,13,2145,0.9989394331573187,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,40,max_net,0.25,7,335,335,256,0,13,2145,0.997909546595916,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,41,max_net,0.25,7,335,335,256,0,13,2145,0.9983473905851201,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,42,max_net,0.25,7,335,335,256,0,13,2145,0.9971396358806075,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,43,max_net,0.25,7,335,335,256,0,13,2145,0.9981920871294769,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,44,max_net,0.25,7,335,335,256,0,13,2145,0.9981350825379344,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,45,max_net,0.25,7,335,335,256,0,13,2145,0.9975598441184992,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,46,max_net,0.25,7,335,335,256,0,13,2145,0.9986246569502095,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,47,max_net,0.25,7,335,335,256,0,13,2145,0.9979096594789598,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,48,max_net,0.25,7,335,335,256,0,13,2145,0.9990191144215625,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,49,max_net,0.25,7,335,335,256,0,13,2145,0.9986070900677793,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,50,max_net,0.25,7,335,335,256,0,13,2145,0.9971758782613018,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,51,max_net,0.25,7,335,335,256,0,13,2145,0.9976414396521779,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,52,max_net,0.25,7,335,335,256,0,13,2145,0.9983336014747386,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,53,max_net,0.25,7,335,335,256,0,13,2145,0.9969801924887365,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,54,max_net,0.25,7,335,335,256,0,13,2145,0.9980557629452884,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,55,max_net,0.25,7,335,335,256,0,13,2145,0.9982799308103417,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,56,max_net,0.25,7,335,335,256,0,13,2145,0.9983858920934678,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,57,max_net,0.25,7,335,335,256,0,13,2145,0.9979997056675753,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,58,max_net,0.25,7,335,335,256,0,13,2145,0.9979792873472628,4.4275,0.1111111111111111,22.094228454167023
Z,coarse,0.05,59,max_net,0.25,7,335,335,256,0,13,2145,0.9990778674138128,4.4275,0.1111111111111111,22.094228454167023
