task,baseline,objective_kind,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,training_objective,best_restart_seed,optimizer_iterations,optimizer_success,optimization_seconds
H,ensemble_grape,state,0.08,18,0.999785179929206,0.6252240813668049,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,19,0.9963348628530238,0.6265297236090575,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,20,0.9958164699160047,0.7455940688146881,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,21,0.9998122299341324,0.34694083036701034,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,22,0.9909530103941009,0.3565507733677926,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,23,0.9958979304167245,0.47929474229285046,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,24,0.9986586530919519,0.3583217134152063,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,25,0.999990941576401,0.33814707354039975,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,26,0.9991065487154991,0.5657922555295873,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,27,0.999517337028017,0.6852406155165385,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,28,0.9914862148265191,0.43891878420416375,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,29,0.9907348292830314,0.39419195161069803,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,30,0.9974062396013382,0.3853119017119216,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,31,0.9947494829757246,0.7505461543286379,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,32,0.9974479787832917,0.5061813812632893,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,33,0.9991977137212102,0.6892975894833687,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,34,0.9996616268303355,0.7705870440256243,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,35,0.9940584970011318,0.7050960378087686,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,36,0.9915850590557905,0.42413388000339786,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,37,0.9999087451213065,0.33950500964182573,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,38,0.9961266332660752,0.5584054854191195,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,39,0.9979130042232953,0.6824341977395929,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,40,0.9926174206611731,0.3765939976002802,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,41,0.9923037609467021,0.49029055889232015,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,42,0.9993967339470728,0.6567745649907057,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,43,0.9998353820466795,0.3633292815448989,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,44,0.9963116267435872,0.5698547114212618,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,45,0.9984387735611744,0.5234687445529999,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,46,0.997965839028868,0.45275529050381885,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,47,0.9917508946472386,0.333570588926935,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,48,0.9978703561774783,0.5554706837295946,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
H,ensemble_grape,state,0.08,49,0.9992708866981528,0.5653921648610861,0.0640438573648904,60,0.0015757775623527859,11,44,True,55.75133491307497
