system,controller,eval_strength,noise_case,gamma_phi,gamma_relax,seed,final_fidelity,final_leakage,max_leakage,tail_infidelity_mean,final_purity,pulse_energy,segments,training_seconds,training_objective,optimizer_iterations,optimizer_success
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,47,0.8912995585047353,0.03916479995390576,0.04902040840025634,0.07261564300134916,0.9620346260294792,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,48,0.5585211603716551,0.024970966380241877,0.04373493960385977,0.27021911158451917,0.9578240395120738,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,49,0.8934034069405002,0.041494398791508624,0.049322037422399045,0.07343799378953692,0.9622847434327009,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,50,0.866920657547334,0.04495985831198057,0.05012016867644864,0.1513521175922983,0.9656807098585677,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,51,0.9234728783902687,0.05761734622090431,0.05895123594516938,0.08423885307518092,0.9641299846860834,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,52,0.8581368478896235,0.03704531054080784,0.044053381214175125,0.0837650497120229,0.9610129542669998,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,53,0.7535692124854719,0.04011032791758484,0.04045869621720688,0.2180288531209146,0.9645169965122041,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,54,0.7833713898482935,0.04143867069089546,0.04456298083706045,0.17349812139544413,0.9635892840174393,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,55,0.6649047102854205,0.03627641124567638,0.03923966370570886,0.39098647394895847,0.9690912599298931,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,56,0.8355598775298554,0.03544426570786563,0.04857701785741375,0.10745964403533259,0.9623510763408575,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,57,0.9095075034822883,0.06394350390139592,0.06907336367300299,0.12301937220743905,0.9653102893745996,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,58,0.8785015098527807,0.034677726323275926,0.040874737717702114,0.08140895989370957,0.9629770365623072,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,open_leakage_path_seed,0.03,combined,0.001,0.0005,59,0.6743837139829285,0.03579723221066211,0.04488790295590939,0.1879500666484545,0.9584032569986445,0.0013843749999999998,120,67.32922316598706,,,
five_level_weak_anharmonic,standalone_open_leakage_adjoint,0.03,static_only,0.0,0.0,10,0.9278380316870636,0.01705023622418811,0.0171903653994675,0.1627612978758065,0.9999998941553748,0.00099313562660069,120,78.00429420289584,0.10252690422767487,480,False
