task,controller,reference_type,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_refreshes,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,20,0.9998427735042148,0.9998892845609567,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,21,0.999702451012088,0.9973944474049724,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,22,0.9999316218661929,0.9925597855511699,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,23,0.9984248592893192,0.9973022468651319,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,24,0.9986662632516552,0.9990970361374408,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,25,0.9989408150988591,0.9990093353526465,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,26,0.9999867673405978,0.999091915433555,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,27,0.9984861653703124,0.9957944386440358,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,28,0.9991043259341074,0.9895572067207707,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,29,0.9991996884368969,0.9883886715950759,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,30,0.9987500298678376,0.9990114204660515,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,31,0.9998990563351965,0.9996664145011195,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,32,0.99901252844868,0.998355467853305,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,33,0.9984038899728416,0.9962630135426657,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
Z,dcrab_seeded_process_horizon,process_dcrab,0.08,34,0.9993572685707421,0.9986411155773706,10.094807667627897,40,4,6,0.0036359213850768327,3,54,False,65.85247833421454,4.7973032121080905
