task,controller,eval_strength,seed,state_fidelity,avg_gate_fidelity,pulse_energy,segments,horizon_steps,objective_mean,horizon_iterations,successful_steps,design_seconds
H,standalone_process_adjoint,0.08,18,0.9482391112961046,0.963855770429916,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,19,0.9726053641558251,0.9745196095069716,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,20,0.8597545844220185,0.9025171387909091,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,21,0.7721066961361822,0.8471667193443615,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,22,0.8338340425134633,0.8884819952298691,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,23,0.989944448203366,0.9928196936378578,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,24,0.8378660141867353,0.8919080058442117,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,25,0.7355797147500149,0.8235486226347518,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,26,0.982819781628731,0.9871888415179066,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,27,0.9115822399608324,0.9399384462570856,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,28,0.9638579416555677,0.9750748677865196,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,29,0.90927656279352,0.9389935810033873,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,30,0.9017644679701325,0.9342260669656909,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,31,0.849678932519258,0.8976193651051454,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,32,0.9941433500866412,0.9940368044476561,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,33,0.890426707618425,0.925362950331322,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,34,0.7974310763984757,0.8645915689789264,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
H,standalone_process_adjoint,0.08,35,0.9046554597382569,0.9332660368963198,1.1682415702684248,60,4,0.04114068841232039,464,9,48.74015799094923
