task,controller,train_noise_case,eval_noise_case,disorder_strength,gamma_phi,gamma_relax,seed,final_fidelity,final_infidelity,final_purity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,34,0.95059582219294,0.04940417780705997,0.9111635604342961,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,35,0.952591870189098,0.04740812981090203,0.9128272065939971,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,36,0.9526508334597684,0.04734916654023158,0.9114624035607161,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,37,0.9507319494397967,0.049268050560203336,0.9114451196326099,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,38,0.9527595388637728,0.04724046113622715,0.9120597761536011,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,39,0.9538453442978011,0.0461546557021989,0.9133999141904401,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,40,0.9524509427867804,0.04754905721321956,0.9104708285538108,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,41,0.9528606298853328,0.04713937011466718,0.9124884179304951,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,42,0.9514979998416824,0.048502000158317626,0.9104257665701956,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,43,0.953604352664273,0.046395647335726986,0.9138762035908131,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,44,0.952676785880772,0.04732321411922802,0.9119872703013481,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,45,0.9527604651449664,0.04723953485503363,0.9105824536245388,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,46,0.9543611766436664,0.045638823356333624,0.9139422973858913,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,47,0.9506679956976712,0.04933200430232876,0.9119159663091312,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,48,0.9546343643237445,0.04536563567625551,0.913891002416861,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,49,0.9547496646921585,0.045250335307841505,0.913751820210199,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,50,0.9510589855772877,0.04894101442271226,0.9108186613771857,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,51,0.9528318178003525,0.04716818219964747,0.9106723270463104,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,52,0.9529160699010432,0.04708393009895684,0.9126085809564981,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,53,0.951088674620346,0.048911325379654036,0.9107308942053878,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,54,0.9514500470528039,0.04854995294719611,0.9119427245652519,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,55,0.9521928572500293,0.047807142749970666,0.9098664726826103,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,56,0.9513483494608772,0.04865165053912279,0.9122843905963798,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,57,0.9511967777769006,0.04880322222309941,0.9121875457245479,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,58,0.9505255840369866,0.049474415963013385,0.9119221919257819,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
Z,standalone_open_seed,combined,deph_0.005,0.08,0.005,0.0,59,0.952732256918356,0.047267743081644054,0.9129900455502343,3.75,60,2,0.0,0,0,True,3.5161411338485777,0.0,0,True,0.0
