task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,beam_width,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_seconds
Z,process_grape_reference,0.08,58,0.9996909542264321,0.9937547331456873,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,process_grape_reference,0.08,59,0.998463909138104,0.992469120072113,1.4024110838914767,60,0,0,0.006992642949236226,22,13,True,39.94746181194205,0.0
Z,seeded_process_horizon,0.08,10,0.9986597939299672,0.998950881587032,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,11,0.9979638575387928,0.9957755932866436,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,12,0.9977150118455188,0.9963755143588351,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,13,0.998664729891034,0.9988575652434989,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,14,0.9989442314352057,0.987993106217691,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,15,0.9990746316275568,0.9958986174332581,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,16,0.9980693537202636,0.9905798005401844,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,17,0.9989247064403131,0.9886398954119762,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,18,0.9995132958377717,0.9968011543440021,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,19,0.9969412260706426,0.996007773984941,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,20,0.9979106716360701,0.9932369026115614,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,21,0.9989309745387203,0.9917379148408939,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,22,0.9987150607043068,0.9985198969584576,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,23,0.9989857562928682,0.9936095127958384,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,24,0.9990912793039372,0.9859975308135374,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
Z,seeded_process_horizon,0.08,25,0.999402772423359,0.9848615757738978,1.4060044801311025,60,4,6,0.006992642949236226,22,13,True,39.94746181194205,14.037209179019555
