task,method,net_index,coeff_x,coeff_y,coeff_z,coeff_norm,ball_radius,points_per_axis,grid_spacing,covering_radius,final_fidelity,final_infidelity,grad_x,grad_y,grad_z,gradient_norm,pulse_energy,design_seconds,time_horizon,score_mode,worst_weight,train_net_points,base_train_points,hard_points_requested,hard_points_used,design_points_per_axis,certificate_points_per_axis
Z,selected_hard_augmented_mean_worst,2889,-0.04666666666667,0.05333333333333,0.0,0.07086763875156402,0.08,25,0.006666666666666668,0.005773502691896259,0.9981673210678008,0.0018326789321991832,0.00260577335211995,0.04067610143102196,-0.009903511961060374,0.04194537914421887,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2890,-0.04666666666667,0.05333333333333,0.00666666666667,0.07118052168020875,0.08,25,0.006666666666666668,0.005773502691896259,0.998220275285202,0.0017797247147980366,0.002901167526957932,0.03990228596661069,-0.005993861937885925,0.04045411696367984,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2891,-0.04666666666667,0.05333333333333,0.01333333333333,0.07211102550927886,0.08,25,0.006666666666666668,0.005773502691896259,0.9982473974074,0.0017526025926000166,0.003186895385566449,0.03913195680456549,-0.0021553888925138764,0.03932063131272051,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2892,-0.04666666666667,0.05333333333333,0.02,0.07363574011458143,0.08,25,0.006666666666666668,0.005773502691896259,0.99824919189264,0.0017508081073599469,0.003463522909507813,0.03835994991048333,0.0016029508045563579,0.03854933461632384,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2893,-0.04666666666667,0.05333333333333,0.02666666666667,0.07571877794400453,0.08,25,0.006666666666666668,0.005773502691896259,0.9982262222845016,0.0017737777154983592,0.003731536984307768,0.037581409073249555,0.00527240003806545,0.038132464886990625,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2894,-0.04666666666667,0.05333333333333,0.03333333333333,0.07831560082980317,0.08,25,0.006666666666666668,0.005773502691896259,0.9981791096417386,0.0018208903582613845,0.003991341991230829,0.03679178985072984,0.008844473403686604,0.03804985310220986,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2895,-0.04666666666667,0.06,-0.02,0.07859884081701261,0.08,25,0.006666666666666668,0.005773502691896259,0.9975438719119124,0.0024561280880875946,0.0025502155919158546,0.04854424778636579,-0.022849134458819143,0.05371341115798295,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2896,-0.04666666666667,0.06,-0.01333333333333,0.07717224601860294,0.08,25,0.006666666666666668,0.005773502691896259,0.9976825328475448,0.002317467152455177,0.0028278176366288814,0.047625746092618826,-0.01875675285888251,0.05126425676115693,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2897,-0.04666666666667,0.06,-0.00666666666667,0.0763034876150663,0.08,25,0.006666666666666668,0.005773502691896259,0.9977940731276287,0.002205926872371311,0.0030974957461955034,0.04672790327516174,-0.01471440400573848,0.04908772870723052,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
Z,selected_hard_augmented_mean_worst,2898,-0.04666666666667,0.06,0.0,0.07601169500661124,0.08,25,0.006666666666666668,0.005773502691896259,0.9978788556983713,0.0021211443016286857,0.003359887968866864,0.045844684617546094,-0.01073091442208196,0.04720356426351352,4.1775,32.70268058497459,8.0,mean_worst,0.25,547,335,256,212,13,25
