task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,refreshes,frequency_seed_path,training_objective,optimizer_success_all,optimization_seconds
Z,dcrab,0.05,38,0.9999090645538611,9.09354461389178e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,39,0.9999823794839435,1.7620516056471303e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,40,0.9998101838558189,0.0001898161441811208,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,41,0.9996318468613378,0.00036815313866223054,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,42,0.999952699019011,4.730098098904012e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,43,0.9999157700797923,8.422992020773457e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,44,0.9999123387524498,8.76612475502192e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,45,0.9998583533279012,0.00014164667209881632,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,46,0.9998499925404154,0.00015000745958460016,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,47,0.9997158871733696,0.0002841128266304338,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,48,0.9999376487227873,6.235127721265776e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,49,0.9999893448683894,1.0655131610581847e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,50,0.9999971499927643,2.8500072356552053e-06,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,51,0.9998470307943172,0.0001529692056827514,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,52,0.999612865008827,0.00038713499117304373,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,53,0.9999202471131188,7.975288688122362e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,54,0.9998011559676416,0.00019884403235836956,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,55,0.9999811935093891,1.88064906109231e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,56,0.9998431862510098,0.0001568137489902366,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,57,0.9999755568046237,2.4443195376311344e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,58,0.9997461208263771,0.00025387917362285073,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.05,59,0.9998961992252928,0.00010380077470717453,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,10,0.9992050150113871,0.0007949849886128568,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,11,0.9999664538456755,3.354615432449304e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,12,0.9999702970748241,2.9702925175900674e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,13,0.9999947298758336,5.270124166401047e-06,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,14,0.9999589309248809,4.106907511913782e-05,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,15,0.9996285549039414,0.0003714450960585758,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,16,0.9997609941523136,0.0002390058476864354,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,17,0.9996636250836015,0.00033637491639848527,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,18,0.9996972628840313,0.000302737115968732,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,19,0.9998992348358209,0.0001007651641791174,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,20,0.9998815534064268,0.00011844659357318488,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,21,0.9997277641429043,0.00027223585709568177,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,22,0.9993868508603408,0.0006131491396591526,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,23,0.9995335988005808,0.00046640119941920855,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,24,0.9997691101536337,0.00023088984636632226,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,25,0.9998501412570008,0.00014985874299922042,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,26,0.9997353264394824,0.00026467356051762536,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,27,0.9997335952786803,0.0002664047213196685,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,28,0.9985655200771693,0.0014344799228307448,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,29,0.9983356888153557,0.0016643111846442737,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,30,0.9997172307775083,0.00028276922249170777,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,31,0.9997105569320427,0.0002894430679573068,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,32,0.9997048165757709,0.00029518342422907295,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,33,0.9999965426764774,3.457323522582101e-06,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,34,0.9998354052946004,0.0001645947053996455,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
Z,dcrab,0.08,35,0.9997111711492336,0.0002888288507664205,8.651955026722808,3,40,3,"31,43,59",0.0017585057030439003,False,38.753890642663464
