system,task,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,shifted_available_steps,shifted_selected_steps,shifted_selected_fraction
terminal_value_shifted_Z,Z,0.05,42,0.002180341669517897,0.0033545928953122583,0.9960731125750013,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,43,0.001817303291770682,0.0032713706971271295,0.9982206973361856,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,44,0.0011539717122447707,0.0010492684957367215,0.9990418026175552,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,45,0.0016041727459561344,0.0026998671304455657,0.9965478385179578,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,46,0.0021932833198567716,0.003028554156665919,0.9979185986064507,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,47,0.0016171891687954913,0.0023957430955815484,0.9991996626804205,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,48,0.0019233587340348613,0.002541072653692744,0.9981023889602639,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,49,0.0014995382311640628,0.002367022736106783,0.9983891666581015,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,50,0.0020507082549693725,0.0030025637926852644,0.9972409388653134,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,51,0.0015038116986907854,0.0023106246411039866,0.9969289640312279,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,52,0.0017011614468264952,0.0014957554818781915,0.9991172406404829,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,53,0.0021637815042908465,0.003242440214290987,0.996507953182526,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,54,0.0015971954234085474,0.0021129693490054002,0.9984918299048491,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,55,0.0017502736023380214,0.0033703199574863785,0.9958824959700237,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,56,0.0015902518373507684,0.0021083879463604793,0.9989633123553443,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,57,0.0015877197975114623,0.002143588191053092,0.9990722044068799,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,58,0.0015862685472128033,0.0023668447283979877,0.9992053419614999,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.05,59,0.001563493337482693,0.0019918826347445906,0.999124811306917,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,10,0.0018143957783865645,0.0024206295471835837,0.9975730008616113,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,11,0.002056670403275586,0.0031656448340899868,0.998363806540352,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,12,0.0021654984932108832,0.0030183161156223104,0.9978685925533493,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,13,0.003571221529234133,0.006235552698569791,0.9928291904054252,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,14,0.001491734880639631,0.0024505217396324497,0.997704095001633,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,15,0.0019545378116380763,0.0031120903333072825,0.996149689341671,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,16,0.002145838293404772,0.0032621904478115082,0.9990755874897409,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,17,0.0011855294517634282,0.001993167649137595,0.9989505690343926,4.705,99,13,0.13131313131313133
terminal_value_shifted_Z,Z,0.08,18,0.0032340724116624664,0.006794810471050017,0.9926980333060265,4.705,99,13,0.13131313131313133
