task,controller,disorder_strength,seed,state_transfer_fidelity,average_gate_fidelity,pulse_energy,segments,horizon_steps,reference_objective,reference_restart_seed,reference_iterations,reference_success,reference_seconds,horizon_objective,horizon_iterations,horizon_success,horizon_seconds
H,process_grape_reference,0.08,42,0.9999103665913951,0.999935488349211,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,43,0.9999705233011884,0.999979629117207,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,44,0.9997442130286879,0.9996227444178777,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,45,0.9997579011780514,0.9997171265474437,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,46,0.999737316678825,0.9996320408843514,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,47,0.9991788243433526,0.9994369549135328,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,48,0.9997818774481543,0.9996781850243983,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,49,0.9999721332506685,0.9999810502460162,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,50,0.9999078140630908,0.9998606850993076,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,51,0.9997394358984618,0.9996897093866616,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,52,0.9995006462422562,0.9993459514210041,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,53,0.9999390349469199,0.9999587269794977,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,54,0.9997355155078069,0.9996443408908197,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,55,0.9999570902890709,0.9999713934388589,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,56,0.9998613164994561,0.999793546008652,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,57,0.9999904426890096,0.999985877612439,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,58,0.9991892963004717,0.9994370529593217,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,process_grape_reference,0.08,59,0.9998329527357248,0.9997176946247688,3.0664909084841185,60,0,0.00025582952860636295,22,120,False,125.94216444704216,0.0,0,True,0.0
H,adjoint_process_horizon,0.08,10,0.9993062133898618,0.9995138356452905,3.026810472491932,60,4,0.00025582952860636295,22,120,False,125.94216444704216,0.03921361666586861,479,False,15.261787808034569
H,adjoint_process_horizon,0.08,11,0.9999382394917473,0.9999429579006796,3.026810472491932,60,4,0.00025582952860636295,22,120,False,125.94216444704216,0.03921361666586861,479,False,15.261787808034569
H,adjoint_process_horizon,0.08,12,0.9999305740863498,0.9999252834633657,3.026810472491932,60,4,0.00025582952860636295,22,120,False,125.94216444704216,0.03921361666586861,479,False,15.261787808034569
H,adjoint_process_horizon,0.08,13,0.9998892203810449,0.9999098011392866,3.026810472491932,60,4,0.00025582952860636295,22,120,False,125.94216444704216,0.03921361666586861,479,False,15.261787808034569
H,adjoint_process_horizon,0.08,14,0.9996771445015216,0.9997173498088975,3.026810472491932,60,4,0.00025582952860636295,22,120,False,125.94216444704216,0.03921361666586861,479,False,15.261787808034569
