system,disorder_strength,seed,tail_infidelity_mean,tail_stability_range,final_fidelity,pulse_energy,task,config,horizon_steps,beam_width,segments,n_train_strengths,n_train_seeds
horizon_lyapunov_Z,0.08,52,0.019250860046470235,0.02080821099907948,0.9880011314831906,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,53,0.04892321957565248,0.02718381353472854,0.9320980802023678,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,54,0.037793963536142255,0.033602469791504386,0.9435183560254877,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,55,0.015530969488087198,0.009476076798824895,0.9879943256819899,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,56,0.05479273240748549,0.03094787535238186,0.930977599415118,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,57,0.07891448314156599,0.009569468829598193,0.9189037032117446,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,58,0.14934351565382384,0.02557672004000333,0.8618233320566445,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,59,0.034847797002897696,0.01933479827032436,0.9608128764714615,1.655,Z,q1_b1,1,1,100,2,8
horizon_lyapunov_Z,0.08,10,0.008781227371025987,0.007017228099255091,0.9915095902428975,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,11,0.004409217950813557,0.008166018694716004,0.9902043897669511,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,12,0.004495671339845424,0.008543921805258536,0.9899232900789808,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,13,0.0035722597670045666,0.007774423219365056,0.998057332128899,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,14,0.004755514846156915,0.010429526777040676,0.9963218496180664,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,15,0.004806866608113638,0.006344572968787987,0.9911663347344456,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,16,0.004122533508811543,0.006289934789405427,0.9922488560019749,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,17,0.0024784123492893975,0.0036172369280111916,0.9954443606394199,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,18,0.002548216846775002,0.004572939724594383,0.9941204618002998,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,19,0.0052454865920024555,0.006976973879056048,0.9909331015026088,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,20,0.004329295929183783,0.007357109017244623,0.991091695394793,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,21,0.0039799768215739795,0.007717833116763995,0.9972659748818293,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,22,0.008555870718948307,0.00762515458742119,0.9915126711367566,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,23,0.003083525913555456,0.00491951527010781,0.9937233358386128,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,24,0.002480844012795765,0.0040576121653264074,0.9966862908115033,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,25,0.003235020235218404,0.0078069521585100166,0.9976981947643944,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,26,0.0034092404961437147,0.006477300874201064,0.9920029163850815,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,27,0.004401002003865062,0.005631890124039085,0.9921575044396371,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,28,0.009015806698686925,0.008739746942484472,0.9939240142949685,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,29,0.009732511096352278,0.012343197582672882,0.9948246340587684,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,30,0.002363280874268514,0.0039016531038645885,0.9951780565604434,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,31,0.003879583805597302,0.005884448286437305,0.9927481349086691,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,32,0.0031556637568457384,0.007332462575897369,0.9915012314422156,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,33,0.003322355523076782,0.008213626376370131,0.9987745874845096,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,34,0.0023923231274365934,0.004610017195517235,0.9967839978324471,2.11,Z,q2_b2,2,2,100,2,8
horizon_lyapunov_Z,0.08,35,0.00452387726712853,0.005469476329596379,0.9926884517251273,2.11,Z,q2_b2,2,2,100,2,8
