task,baseline,eval_strength,seed,final_fidelity,final_infidelity,pulse_energy,basis_count,segments,frequency_seed,restart_seed,training_objective,optimizer_iterations,optimizer_success,optimization_seconds
Z,crab,0.08,36,0.9988862523625013,0.0011137476374987187,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,37,0.9995997090135729,0.000400290986427132,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,38,0.9989984083018203,0.0010015916981797046,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,39,0.9997249586320296,0.0002750413679704078,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,40,0.9992838861579603,0.0007161138420397339,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,41,0.9995964607463819,0.0004035392536181348,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,42,0.9999397215384068,6.027846159317729e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,43,0.9995185690582336,0.0004814309417664475,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,44,0.9991545934076291,0.0008454065923708676,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,45,0.9975640729181049,0.002435927081895106,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,46,0.9993967251060178,0.0006032748939821531,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,47,0.9997783566445775,0.00022164335542251834,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,48,0.9994794445536072,0.0005205554463928452,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,49,0.9999393085977499,6.0691402250068194e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,50,0.9999709431560782,2.9056843921848596e-05,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,51,0.9974380842473661,0.00256191575263387,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,52,0.9997450256798801,0.00025497432011989396,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,53,0.9997959880336229,0.0002040119663770934,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
Z,crab,0.08,54,0.9986800907465773,0.0013199092534227352,5.51412309641358,3,40,31,101,0.001113496475360276,35,False,26.114785432000645
