task,disorder_strength,seed,score_mode,train_points_per_axis,train_net_points,eval_points_per_axis,eval_net_points,final_fidelity,pulse_energy,shifted_selected_fraction,design_seconds
H,0.0,48,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,49,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,50,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,51,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,52,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,53,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,54,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,55,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,56,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,57,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,58,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.0,59,mean_worst,7,335,13,2145,0.9991082884939874,5.72,0.20202020202020202,24.63187931315042
H,0.02,10,mean_worst,7,335,13,2145,0.9992472692287137,5.72,0.20202020202020202,24.63187931315042
H,0.02,11,mean_worst,7,335,13,2145,0.9990490824373829,5.72,0.20202020202020202,24.63187931315042
H,0.02,12,mean_worst,7,335,13,2145,0.999129406228829,5.72,0.20202020202020202,24.63187931315042
H,0.02,13,mean_worst,7,335,13,2145,0.9982661894792848,5.72,0.20202020202020202,24.63187931315042
